id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,nama_rumah_sakit,kategori_kunjungan,jumlah_kunjungan,satuan,tahun
1,32,JAWA BARAT,3201,KABUPATEN BOGOR,RS PARU DR. M. GOENAWAN PARTOWIDIGDO,KUNJUNGAN RAWAT JALAN,42072,ORANG,2019
2,32,JAWA BARAT,3201,KABUPATEN BOGOR,RS PARU DR. M. GOENAWAN PARTOWIDIGDO,KUNJUNGAN RAWAT INAP,4707,ORANG,2019
3,32,JAWA BARAT,3201,KABUPATEN BOGOR,RS PARU DR. M. GOENAWAN PARTOWIDIGDO,KUNJUNGAN GANGGUAN JIWA,0,ORANG,2019
4,32,JAWA BARAT,3201,KABUPATEN BOGOR,RS UMUM DAERAH CIBINONG,KUNJUNGAN RAWAT JALAN,108211,ORANG,2019
5,32,JAWA BARAT,3201,KABUPATEN BOGOR,RS UMUM DAERAH CIBINONG,KUNJUNGAN RAWAT INAP,25123,ORANG,2019
6,32,JAWA BARAT,3201,KABUPATEN BOGOR,RS UMUM DAERAH CIBINONG,KUNJUNGAN GANGGUAN JIWA,7619,ORANG,2019
7,32,JAWA BARAT,3201,KABUPATEN BOGOR,RS UMUM DAERAH CIAWI,KUNJUNGAN RAWAT JALAN,174597,ORANG,2019
8,32,JAWA BARAT,3201,KABUPATEN BOGOR,RS UMUM DAERAH CIAWI,KUNJUNGAN RAWAT INAP,17983,ORANG,2019
9,32,JAWA BARAT,3201,KABUPATEN BOGOR,RS UMUM DAERAH CIAWI,KUNJUNGAN GANGGUAN JIWA,4479,ORANG,2019
10,32,JAWA BARAT,3201,KABUPATEN BOGOR,RS UMUM BINA HUSADA,KUNJUNGAN RAWAT JALAN,0,ORANG,2019
11,32,JAWA BARAT,3201,KABUPATEN BOGOR,RS UMUM BINA HUSADA,KUNJUNGAN RAWAT INAP,0,ORANG,2019
12,32,JAWA BARAT,3201,KABUPATEN BOGOR,RS UMUM BINA HUSADA,KUNJUNGAN GANGGUAN JIWA,0,ORANG,2019
13,32,JAWA BARAT,3201,KABUPATEN BOGOR,RS IBU DAN ANAK CITRA INSANI,KUNJUNGAN RAWAT JALAN,29433,ORANG,2019
14,32,JAWA BARAT,3201,KABUPATEN BOGOR,RS IBU DAN ANAK CITRA INSANI,KUNJUNGAN RAWAT INAP,5823,ORANG,2019
15,32,JAWA BARAT,3201,KABUPATEN BOGOR,RS IBU DAN ANAK CITRA INSANI,KUNJUNGAN GANGGUAN JIWA,0,ORANG,2019
